InputType,Size,TimeMs,Comparisons,Swaps,ArrayAccesses
Random,100,0.502,4895,88,10142
Sorted,100,0.014,99,0,198
Reverse,100,0.677,3774,50,7748
NearlySorted,100,0.014,99,0,198
Random,1000,12.829,433797,636,870138
Sorted,1000,0.008,999,0,1998
Reverse,1000,5.430,375249,500,752498
NearlySorted,1000,0.003,999,0,1998
Random,10000,233.508,45583065,7028,91194242
Sorted,10000,0.018,9999,0,19998
Reverse,10000,371.787,37502499,5000,75024998
NearlySorted,10000,0.021,9999,0,19998
Random,50000,5330.191,1159032159,36512,-1976756930
Sorted,50000,0.109,49999,0,99998
Reverse,50000,2154.478,937512499,25000,1875124998
NearlySorted,50000,0.107,49999,0,99998
